"","X","Y","month","day","FFMC","DMC","DC","ISI","temp","RH","wind","rain","area"
"1",4,4,"sep","wed",92.1,103.8,752.3,8.2,21,37,3.5,0,3.64
"2",4,6,"oct","sun",84,27.8,59.8,2.3,14.3,57,5.6,0,3.35
"3",5,3,"sep","fri",90.7,114.3,731.3,7,18.5,43,3.9,0,0.43
"4",6,5,"aug","wed",93.1,141.3,669.2,13.5,24.2,30,2.4,0,0
"5",4,5,"nov","wed",93.6,147.1,668.9,13.8,24.4,33,2.9,0,0
"6",4,4,"sep","mon",92.1,97.5,736.9,7.3,19.1,40,3,0,0
"7",5,4,"sep","fri",91.4,134.6,809.3,6.7,18.8,70,3.1,0.1,0.41
"8",8,5,"aug","mon",89.7,158.6,722.6,6.8,14.4,62,7,0,16.33
"9",6,5,"oct","thu",85.4,2.6,57.6,2.3,8.2,55,6.3,0.1,11.19
"10",4,4,"sep","mon",92.1,91.3,740.8,5.8,18.9,40,3.1,0,0
"11",4,5,"may","thu",84,6.1,71.8,5,5,50,6.5,0,4.61
"12",6,4,"sep","fri",92.2,104.5,741.7,9.7,21.4,34,3,0,1.47
"13",5,3,"sep","fri",92,111.7,741.3,9.5,20.4,40,2.6,0.1,2.57
"14",4,4,"sep","fri",92.6,113.9,719.7,10,21.4,32,2.9,0.1,3.94
"15",6,4,"may","fri",84.8,11.2,51.3,3,10,43,2.4,0,0
"16",2,4,"aug","sun",94.5,141.5,606.8,14.9,23.5,40,5,0,0
"17",6,5,"jul","thu",94.1,143.8,605.4,18.9,26.2,31,3.9,0,2.47
"18",7,4,"nov","tue",88.7,157.8,674.6,7.6,14.8,59,5,0.1,0
"19",7,4,"sep","fri",92.1,98.8,774.9,9.2,20.5,38,4.2,0,0
"20",4,5,"feb","mon",85.5,5,57.4,2.7,13.7,56,5.5,0.1,0
"21",4,4,"oct","mon",85.8,18.4,57.8,2.8,14.8,47,5.2,0.1,0
"22",5,4,"sep","fri",92.2,91.2,741.3,9.5,19.6,40,2.7,0.1,0
"23",4,4,"oct","thu",84.9,2.7,56.8,2.4,12.8,65,9,0.5,0
"24",5,3,"sep","fri",91.8,106.8,776.2,7.4,20.3,40,3.5,0.1,34.36
"25",4,5,"feb","thu",84.7,10.4,60.9,2.7,11.5,56,9,0,13.05
"26",6,4,"sep","fri",92.1,107.1,775.5,9.6,19.7,38,3.5,0,15.34
"27",2,5,"aug","sun",94.6,132.3,585.4,14.2,28.2,33,6.2,0,3.09
"28",5,4,"aug","tue",94.9,197.5,607.5,16.1,28.7,30,5.2,0.1,0
"29",5,5,"oct","thu",85.7,18.1,55.3,3,12.6,46,3.5,0,0
"30",4,4,"feb","fri",84.9,2.6,57.6,2.9,8.6,43,2.4,0,3.35
"31",4,4,"aug","thu",93,137.1,622.2,10.2,23.4,28,3.1,0,196.48
"32",2,4,"aug","tue",94.9,135.3,585.3,10.8,24.9,30,4,0,4.69
"33",4,4,"sep","fri",91.4,111.5,766.9,8.6,20.7,40,2.6,0.1,1.95
"34",6,4,"sep","fri",92.2,112.8,737.8,10,21.3,39,3,0.1,0.24
"35",4,4,"feb","mon",85.4,2.4,56.4,4.2,9.8,35,2.4,0.1,0
"36",6,4,"oct","mon",84.9,18.5,57.5,2.7,13.8,48,4.9,0.4,0
"37",5,4,"sep","fri",91.8,112.7,766,7.8,18.6,40,3,0.1,0
"38",5,7,"aug","thu",96.1,131.4,582.4,13.5,27.8,30,3.9,0,2
"39",6,4,"oct","wed",87.2,30.4,62.3,3.3,15.1,40,5.5,0.1,0
"40",7,4,"aug","tue",93.6,178.1,626.5,14.3,20.5,61,5,0.1,2.87
"41",4,4,"sep","fri",91.6,102.4,753,6.3,19.2,42,2.5,0.1,1.56
"42",3,4,"sep","mon",91.3,91,746.4,6.5,18.4,45,3,0.1,1.26
"43",7,4,"feb","fri",84.9,4.6,24.6,2.9,7.5,59,7.8,0.1,0
"44",4,5,"aug","sun",94.2,149.5,653,14.7,24.4,25,3,0.1,7.04
"45",6,4,"sep","thu",92.2,104.6,726.3,9.5,21.8,28,2.7,0.1,34.36
"46",4,4,"aug","thu",93,131.7,622.2,10,23.5,28,3.1,0.1,0
"47",5,4,"oct","mon",85.3,20.7,57.9,4.2,12.5,36,3.5,0,0
"48",4,5,"may","sat",81.8,2.5,56.5,2.1,14.8,59,3.9,5.4,0
"49",3,6,"feb","mon",84,5,57.6,2.7,13.8,51,6.7,0.1,0
"50",7,4,"oct","fri",85.7,17.8,96.1,2,7.7,64,9.3,0.4,0
"51",4,4,"sep","wed",92,94.1,741.9,8.6,19.3,40,2.7,0.1,0
"52",6,5,"oct","fri",85.2,11.7,49.7,3,11.4,56,3.1,0,0
"53",5,4,"sep","fri",92.6,113.9,746.2,7.6,20.8,33,2.5,0.1,1.38
"54",7,4,"jul","sun",89.7,242.2,666.6,11.5,14.1,74,5.9,0,0
"55",4,4,"sep","thu",90.5,147.6,761.3,6.7,19.8,65,2.5,0.1,0
"56",4,4,"aug","thu",94.5,132.1,586.4,14.2,31.4,33,5.5,0,0.9
"57",4,4,"sep","thu",92.6,105.9,726.2,9.6,21.4,28,3,0.1,30.18
"58",8,7,"nov","sun",93.7,177.9,595,13.7,20.4,61,2.5,0,2.55
"59",2,4,"aug","sun",94.7,168.1,604.4,13.8,23.6,30,5.3,0,8.16
"60",4,5,"feb","fri",84.8,4.8,57.3,2.7,8.7,59,3.4,0.1,0
"61",4,5,"oct","thu",85.4,2.6,58.1,2.3,12.4,56,6.5,0.5,9.77
"62",4,5,"oct","thu",84.8,2.7,57.3,2.3,12.4,56,6.5,0.1,4.61
"63",7,4,"jul","sun",89.4,97.4,583.9,6.1,14.7,75,7.2,0.2,2.14
"64",4,3,"sep","wed",91.8,105.1,741.3,7.9,21.7,32,2.6,0.1,1.09
"65",4,3,"sep","wed",91.8,105.3,740.6,7.9,21.6,32,2.6,0,0.47
"66",4,5,"oct","thu",85.4,2.6,57.1,1.9,12.4,77,6.5,0.1,3.63
"67",5,4,"sep","fri",92.6,117.2,741,9.6,21.5,33,3,0,28.74
"68",5,4,"sep","mon",92.1,93.7,741.9,7.8,19.7,40,2.1,0.1,1.58
"69",6,3,"sep","thu",92,106.9,767.7,9.5,21,31,2.1,0.1,0
"70",7,3,"sep","fri",92.5,91.4,750.9,7.7,19.9,40,3.4,0.1,30.18
"71",5,3,"sep","thu",91.1,103.4,715,7.3,19.2,48,3.5,0,0
"72",4,4,"sep","fri",90.9,108.2,762,6.7,18.2,60,2.4,0.1,7.48
"73",4,4,"sep","mon",91.4,91,743.6,6.9,17.6,67,5.1,0.1,1.47
"74",5,4,"sep","fri",90.9,126.3,723.8,8.3,18.2,63,3.8,0,2.18
"75",3,4,"sep","fri",90.3,108,743,6.7,18.5,60,2.5,0.1,212.88
"76",4,4,"sep","fri",92,109.5,775.9,9.5,19.8,42,3,0.1,0
"77",8,8,"aug","mon",89.5,173.8,736.9,10.3,15.8,62,7.4,0.1,0
"78",7,4,"aug","sun",90.4,273.8,797.5,7.1,12.3,74,5.7,0.1,0.76
"79",3,4,"sep","sun",91.2,136.7,685.1,6.9,13.3,59,7.3,0,61.13
"80",4,4,"sep","sun",90.3,107.7,744.8,6.3,18.8,48,2.1,0.1,7.48
"81",8,6,"aug","sun",90.4,161,634.1,7.2,15.8,73,5.2,0,0
"82",2,2,"oct","mon",84.8,2.6,56.5,2.7,12.1,35,2.2,0,1.1
"83",7,4,"may","thu",84.8,2.5,57.8,2.9,8.6,65,2.2,0.5,9.96
"84",5,3,"may","wed",84,10.6,56.3,2.7,14.5,42,6.4,0,0
"85",5,5,"may","sat",84,2.5,51.2,5,13.8,49,5.1,0.4,0
"86",4,5,"feb","thu",84.8,4.8,57.4,2.9,11.5,57,2.2,0,0
"87",3,4,"aug","sun",90.9,165.8,631.5,7.9,16.1,66,6,0.1,0
"88",2,4,"sep","tue",91,124.5,692.7,6.8,14.3,69,6,0,0
"89",5,3,"jul","thu",95.3,144.3,462.5,14.3,26.2,34,4,0,7.73
"90",8,5,"jul","thu",94.1,133.5,583.3,14.2,26.7,30,4.3,0.1,0
"91",4,3,"sep","mon",92.1,101.9,740.1,7.2,21.6,40,2.4,0.1,3.33
"92",6,4,"aug","tue",95.5,131.8,603.3,17.6,24.4,39,5.5,0.5,40.54
"93",8,6,"jul","sun",95.1,168.4,618.1,14.1,28.5,31,5.2,0,0
"94",7,4,"aug","thu",90.9,188.9,625.3,7,20.6,66,5.7,0.1,0
"95",7,4,"feb","mon",85.4,5,61.3,2.7,12.5,55,7,0.1,0
"96",8,5,"aug","thu",95.4,140.3,612,11.9,26.7,43,4.6,0.1,4.96
"97",7,4,"aug","sun",90.9,161.6,658.7,7.2,12.8,75,6.3,0.1,0
"98",2,5,"aug","thu",93.5,134.7,634.4,14.1,26.6,34,5.5,0,10.02
"99",4,5,"aug","thu",94.4,145.9,516.8,13,29.2,27,5.4,0.5,0
"100",2,7,"aug","thu",96,131.4,579.7,10.9,23.5,28,4.9,0,8.59
"101",4,5,"aug","sun",95,153.4,667.9,13.7,27.6,43,6,0.1,0
"102",4,5,"jul","thu",96,130.8,440.2,11.3,31.6,23,5.6,0,0
"103",2,4,"aug","sun",93,177.3,690.6,14,20.6,74,6.6,0.1,0
"104",2,4,"aug","sun",94.3,145.6,614.3,15.1,23.5,40,4.8,0.1,0
